"","LSOA11NM","LSOA11CD","MSOA11CD","MSOA11NM","LAD11CD","LAD11NM","RGN11CD","RGN11NM","USUALRES","HHOLDRES","COMESTRES","POPDEN","HHOLDS","AVHHOLDSZ","LA.CODE","LA.NAME","X","IMD2007","INCOME2007","EMPLOYMENT2007","EDUCATION2007","IMD","Income","Employment","Education","dif_IMD","dif_income","dif_employ","dif_edu"
"29","Barking and Dagenham 007E","E01000082","E02000008","Barking and Dagenham 007","E09000002","Barking and Dagenham","E12000007","London",1683,1678,5,104.7,672,2.5,"00AB","Barking and Dagenham",NA,5656,5577,5274,5875,7276,6810,7558,9573,1620,1233,2284,3698
"30","Barking and Dagenham 007F","E01000083","E02000008","Barking and Dagenham 007","E09000002","Barking and Dagenham","E12000007","London",1700,1700,0,94.5,629,2.7,"00AB","Barking and Dagenham",NA,6428,6060,6361,4234,5076,3503,6784,9411,-1352,-2557,423,5177
"60","Barking and Dagenham 013D","E01000084","E02000014","Barking and Dagenham 013","E09000002","Barking and Dagenham","E12000007","London",1355,1355,0,90.3,517,2.6,"00AB","Barking and Dagenham",NA,6378,7295,7909,3615,3973,3963,6766,4659,-2405,-3332,-1143,1044
"61","Barking and Dagenham 013E","E01000085","E02000014","Barking and Dagenham 013","E09000002","Barking and Dagenham","E12000007","London",1718,1711,7,118.2,640,2.7,"00AB","Barking and Dagenham",NA,4835,3971,5256,4076,4861,5601,6419,6408,26,1630,1163,2332
"62","Barking and Dagenham 013F","E01000086","E02000014","Barking and Dagenham 013","E09000002","Barking and Dagenham","E12000007","London",1431,1431,0,102.1,508,2.8,"00AB","Barking and Dagenham",NA,6664,8291,8611,2695,5157,5541,7176,9369,-1507,-2750,-1435,6674
"92","Barking and Dagenham 020B","E01000087","E02000021","Barking and Dagenham 020","E09000002","Barking and Dagenham","E12000007","London",1341,1341,0,36,503,2.7,"00AB","Barking and Dagenham",NA,5563,3507,4938,4495,6382,5611,7836,8192,819,2104,2898,3697
"93","Barking and Dagenham 020C","E01000088","E02000021","Barking and Dagenham 020","E09000002","Barking and Dagenham","E12000007","London",1828,1723,105,80.7,640,2.7,"00AB","Barking and Dagenham",NA,10998,8908,13899,8969,8154,8654,10305,10928,-2844,-254,-3594,1959
"94","Barking and Dagenham 020D","E01000089","E02000021","Barking and Dagenham 020","E09000002","Barking and Dagenham","E12000007","London",1666,1666,0,114.5,612,2.7,"00AB","Barking and Dagenham",NA,8266,5658,10704,6835,8433,7626,10848,10322,167,1968,144,3487
"95","Barking and Dagenham 020E","E01000090","E02000021","Barking and Dagenham 020","E09000002","Barking and Dagenham","E12000007","London",1584,1584,0,8.1,549,2.9,"00AB","Barking and Dagenham",NA,9660,9452,11621,7902,7920,7219,10934,12277,-1740,-2233,-687,4375
"101","Barking and Dagenham 022A","E01000091","E02000023","Barking and Dagenham 022","E09000002","Barking and Dagenham","E12000007","London",1714,1714,0,69.6,633,2.7,"00AB","Barking and Dagenham",NA,2582,3295,2393,3785,3389,2350,3992,5806,807,-945,1599,2021
"90","Barking and Dagenham 019E","E01000092","E02000020","Barking and Dagenham 019","E09000002","Barking and Dagenham","E12000007","London",2674,2674,0,10.1,975,2.7,"00AB","Barking and Dagenham",NA,7019,4615,10902,8432,7035,6683,9345,13681,16,2068,-1557,5249
"102","Barking and Dagenham 022B","E01000093","E02000023","Barking and Dagenham 022","E09000002","Barking and Dagenham","E12000007","London",1547,1547,0,52.7,642,2.4,"00AB","Barking and Dagenham",NA,2361,2372,2518,3391,3154,3200,3646,8216,793,828,1128,4825
"103","Barking and Dagenham 022C","E01000094","E02000023","Barking and Dagenham 022","E09000002","Barking and Dagenham","E12000007","London",1326,1326,0,22,517,2.6,"00AB","Barking and Dagenham",NA,4955,2787,10586,6416,7457,6676,13126,18085,2502,3889,2540,11669
"85","Barking and Dagenham 018E","E01000095","E02000019","Barking and Dagenham 018","E09000002","Barking and Dagenham","E12000007","London",1572,1572,0,6.9,549,2.9,"00AB","Barking and Dagenham",NA,5636,7026,12360,5607,5849,6882,10611,9163,213,-144,-1749,3556
"104","Barking and Dagenham 022D","E01000096","E02000023","Barking and Dagenham 022","E09000002","Barking and Dagenham","E12000007","London",1895,1895,0,31.5,639,3,"00AB","Barking and Dagenham",NA,1815,954,3985,3315,3362,1915,9695,7195,1547,961,5710,3880
"107","Barking and Dagenham 023C","E01000097","E02006799","Barking and Dagenham 023","E09000002","Barking and Dagenham","E12000007","London",1683,1683,0,93.9,708,2.4,"00AB","Barking and Dagenham",NA,5031,3427,6242,6238,4195,4089,6544,6985,-836,662,302,747
"108","Barking and Dagenham 023D","E01000098","E02006799","Barking and Dagenham 023","E09000002","Barking and Dagenham","E12000007","London",1746,1746,0,99.5,625,2.8,"00AB","Barking and Dagenham",NA,5629,4759,6057,6899,4995,5043,6051,7282,-634,284,-6,383
"109","Barking and Dagenham 023E","E01000099","E02006799","Barking and Dagenham 023","E09000002","Barking and Dagenham","E12000007","London",1732,1732,0,55.9,666,2.6,"00AB","Barking and Dagenham",NA,5581,6383,6244,4033,7206,5933,9106,10066,1625,-450,2862,6033
"16","Barking and Dagenham 004B","E01000100","E02000005","Barking and Dagenham 004","E09000002","Barking and Dagenham","E12000007","London",1653,1653,0,78.2,615,2.7,"00AB","Barking and Dagenham",NA,6436,6835,5967,5208,6169,5158,6444,9266,-267,-1677,477,4058
"17","Barking and Dagenham 004C","E01000101","E02000005","Barking and Dagenham 004","E09000002","Barking and Dagenham","E12000007","London",1513,1513,0,92.3,567,2.7,"00AB","Barking and Dagenham",NA,5507,5066,6768,4235,4595,3880,6722,9243,-912,-1186,-46,5008
"31","Barking and Dagenham 007G","E01000102","E02000008","Barking and Dagenham 007","E09000002","Barking and Dagenham","E12000007","London",1540,1540,0,60.9,625,2.5,"00AB","Barking and Dagenham",NA,6073,3975,8494,6686,5112,3791,6735,10005,-961,-184,-1759,3319
